,0
  (0, 859)	1.0
  (0, 1066)	1.0
  (0, 1075)	1.0
  (0, 1095)	1.0
  (0, 1152)	1.0
  (0, 1177)	1.0
  (0, 1261)	1.0
  (0, 1263)	1.0"
778,"  (0, 97)	1.0
  (0, 121)	1.0
  (0, 167)	1.0
  (0, 186)	1.0
  (0, 313)	1.0
  (0, 587)	1.0
  (0, 610)	1.0
  (0, 623)	1.0
  (0, 715)	1.0
  (0, 814)	1.0
  (0, 937)	1.0
  (0, 981)	1.0
  (0, 1075)	1.0
  (0, 1131)	1.0
  (0, 1174)	1.0
  (0, 1176)	1.0
  (0, 1257)	1.0
  (0, 1263)	1.0
  (0, 1301)	1.0
  (0, 1305)	1.0
  (0, 1423)	1.0"
779,"  (0, 47)	1.0
  (0, 121)	1.0
  (0, 133)	1.0
  (0, 194)	1.0
  (0, 255)	1.0
  (0, 458)	1.0
  (0, 485)	1.0
  (0, 760)	1.0
  (0, 776)	1.0
  (0, 805)	1.0
  (0, 813)	1.0
  (0, 814)	1.0
  (0, 874)	1.0
  (0, 913)	1.0
  (0, 1005)	1.0
  (0, 1075)	1.0
  (0, 1095)	1.0
  (0, 1097)	1.0
  (0, 1132)	1.0
  (0, 1177)	1.0
  (0, 1215)	1.0
  (0, 1295)	1.0"
780,"  (0, 19)	1.0
  (0, 26)	1.0
  (0, 57)	1.0
  (0, 89)	1.0
  (0, 93)	1.0
  (0, 99)	1.0
  (0, 211)	1.0
  (0, 330)	1.0
  (0, 353)	1.0
  (0, 472)	1.0
  (0, 621)	1.0
  (0, 628)	1.0
  (0, 985)	1.0
  (0, 1052)	1.0
  (0, 1144)	1.0
  (0, 1177)	1.0
  (0, 1209)	1.0
  (0, 1262)	1.0
  (0, 1302)	1.0
  (0, 1329)	1.0
  (0, 1354)	1.0"
781,"  (0, 25)	1.0
  (0, 61)	1.0
  (0, 110)	1.0
  (0, 113)	1.0
  (0, 179)	1.0
  (0, 305)	1.0
  (0, 388)	1.0
  (0, 494)	1.0
  (0, 495)	1.0
  (0, 507)	1.0
  (0, 534)	1.0
  (0, 597)	1.0
  (0, 625)	1.0
  (0, 751)	1.0
  (0, 1025)	1.0
  (0, 1052)	1.0
  (0, 1060)	1.0
  (0, 1099)	1.0
  (0, 1149)	1.0
  (0, 1296)	1.0
  (0, 1332)	1.0
  (0, 1333)	1.0
  (0, 1354)	1.0
  (0, 1409)	1.0
  (0, 1426)	1.0"
782,"  (0, 4)	1.0
  (0, 61)	1.0
  (0, 187)	1.0
  (0, 280)	1.0
  (0, 398)	1.0
  (0, 406)	1.0
  (0, 619)	1.0
  (0, 673)	1.0
  (0, 675)	1.0
  (0, 701)	1.0
  (0, 895)	1.0
  (0, 1002)	1.0
  (0, 1104)	1.0
  (0, 1170)	1.0
  (0, 1177)	1.0
  (0, 1233)	1.0
  (0, 1263)	1.0
  (0, 1303)	1.0
  (0, 1347)	1.0
  (0, 1397)	1.0"
783,"  (0, 211)	1.0
  (0, 339)	1.0
  (0, 489)	1.0
  (0, 729)	1.0
  (0, 800)	1.0
  (0, 882)	1.0
  (0, 903)	1.0
  (0, 958)	1.0
  (0, 1057)	1.0
  (0, 1095)	1.0
  (0, 1177)	1.0
  (0, 1211)	1.0
  (0, 1259)	1.0
  (0, 1261)	1.0
  (0, 1263)	1.0
  (0, 1344)	1.0"
784,"  (0, 25)	1.0
  (0, 106)	1.0
  (0, 266)	1.0
  (0, 283)	1.0
  (0, 333)	1.0
  (0, 398)	1.0
  (0, 633)	1.0
  (0, 645)	1.0
  (0, 715)	1.0
  (0, 895)	1.0
  (0, 1075)	1.0
  (0, 1076)	1.0
  (0, 1131)	1.0
  (0, 1203)	1.0
  (0, 1263)	1.0
  (0, 1290)	1.0
  (0, 1301)	1.0
  (0, 1332)	1.0
  (0, 1359)	1.0"
785,"  (0, 56)	1.0
  (0, 238)	1.0
  (0, 348)	1.0
  (0, 486)	1.0
  (0, 502)	1.0
  (0, 725)	1.0
  (0, 762)	1.0
  (0, 962)	1.0
  (0, 1016)	1.0
  (0, 1075)	1.0
  (0, 1120)	1.0
  (0, 1149)	1.0
  (0, 1171)	1.0
  (0, 1177)	1.0
  (0, 1266)	1.0
  (0, 1274)	1.0
  (0, 1328)	1.0
  (0, 1340)	1.0
  (0, 1375)	1.0"
786,"  (0, 238)	1.0
  (0, 416)	1.0
  (0, 418)	1.0
  (0, 619)	1.0
  (0, 755)	1.0
  (0, 1073)	1.0
  (0, 1075)	1.0
  (0, 1375)	1.0"
787,"  (0, 19)	1.0
  (0, 52)	1.0
  (0, 516)	1.0
  (0, 588)	1.0
  (0, 647)	1.0
  (0, 729)	1.0
  (0, 758)	1.0
  (0, 774)	1.0
  (0, 905)	1.0
  (0, 969)	1.0
  (0, 1021)	1.0
  (0, 1096)	1.0
  (0, 1177)	1.0
  (0, 1254)	1.0
  (0, 1257)	1.0
  (0, 1301)	1.0
  (0, 1381)	1.0
  (0, 1412)	1.0
  (0, 1414)	1.0
  (0, 1427)	1.0"
788,"  (0, 40)	1.0
  (0, 250)	1.0
  (0, 324)	1.0
  (0, 383)	1.0
  (0, 605)	1.0
  (0, 619)	1.0
  (0, 672)	1.0
  (0, 675)	1.0
  (0, 1148)	1.0
  (0, 1156)	1.0
  (0, 1173)	1.0
  (0, 1177)	1.0
  (0, 1306)	1.0
  (0, 1328)	1.0
  (0, 1386)	1.0
  (0, 1393)	1.0"
789,"  (0, 97)	1.0
  (0, 125)	1.0
  (0, 226)	1.0
  (0, 368)	1.0
  (0, 400)	1.0
  (0, 428)	1.0
  (0, 495)	1.0
  (0, 507)	1.0
  (0, 729)	1.0
  (0, 831)	1.0
  (0, 871)	1.0
  (0, 911)	1.0
  (0, 930)	1.0
  (0, 963)	1.0
  (0, 973)	1.0
  (0, 994)	1.0
  (0, 1011)	1.0
  (0, 1050)	1.0
  (0, 1071)	1.0
  (0, 1151)	1.0
  (0, 1177)	1.0
  (0, 1198)	1.0
  (0, 1207)	1.0
  (0, 1280)	1.0"
790,"  (0, 19)	1.0
  (0, 52)	1.0
  (0, 104)	1.0
  (0, 109)	1.0
  (0, 337)	1.0
  (0, 447)	1.0
  (0, 592)	1.0
  (0, 729)	1.0
  (0, 760)	1.0
  (0, 774)	1.0
  (0, 810)	1.0
  (0, 957)	1.0
  (0, 969)	1.0
  (0, 1074)	1.0
  (0, 1076)	1.0
  (0, 1151)	1.0
  (0, 1159)	1.0
  (0, 1170)	1.0
  (0, 1179)	1.0
  (0, 1253)	1.0
  (0, 1296)	1.0
  (0, 1331)	1.0
  (0, 1355)	1.0
  (0, 1386)	1.0"
791,"  (0, 99)	1.0
  (0, 211)	1.0
  (0, 212)	1.0
  (0, 214)	1.0
  (0, 237)	1.0
  (0, 404)	1.0
  (0, 507)	1.0
  (0, 510)	1.0
  (0, 594)	1.0
  (0, 604)	1.0
  (0, 648)	1.0
  (0, 776)	1.0
  (0, 777)	1.0
  (0, 874)	1.0
  (0, 915)	1.0
  (0, 959)	1.0
  (0, 1071)	1.0
  (0, 1171)	1.0
  (0, 1209)	1.0
  (0, 1328)	1.0"
792,"  (0, 41)	1.0
  (0, 130)	1.0
  (0, 205)	1.0
  (0, 263)	1.0
  (0, 358)	1.0
  (0, 360)	1.0
  (0, 419)	1.0
  (0, 507)	1.0
  (0, 692)	1.0
  (0, 725)	1.0
  (0, 763)	1.0
  (0, 1036)	1.0
  (0, 1062)	1.0
  (0, 1094)	1.0
  (0, 1152)	1.0
  (0, 1177)	1.0
  (0, 1211)	1.0
  (0, 1253)	1.0
  (0, 1263)	1.0
  (0, 1397)	1.0"
793,"  (0, 19)	1.0
  (0, 130)	1.0
  (0, 136)	1.0
  (0, 157)	1.0
  (0, 205)	1.0
  (0, 456)	1.0
  (0, 480)	1.0
  (0, 507)	1.0
  (0, 548)	1.0
  (0, 687)	1.0
  (0, 706)	1.0
  (0, 756)	1.0
  (0, 763)	1.0
  (0, 889)	1.0
  (0, 958)	1.0
  (0, 969)	1.0
  (0, 1263)	1.0
  (0, 1273)	1.0
  (0, 1292)	1.0
  (0, 1308)	1.0
  (0, 1349)	1.0
  (0, 1360)	1.0
  (0, 1367)	1.0"
794,"  (0, 4)	1.0
  (0, 19)	1.0
  (0, 239)	1.0
  (0, 312)	1.0
  (0, 398)	1.0
  (0, 497)	1.0
  (0, 540)	1.0
  (0, 762)	1.0
  (0, 931)	1.0
  (0, 1047)	1.0
  (0, 1131)	1.0
  (0, 1251)	1.0
  (0, 1263)	1.0
  (0, 1366)	1.0"
795,"  (0, 52)	1.0
  (0, 135)	1.0
  (0, 162)	1.0
  (0, 398)	1.0
  (0, 514)	1.0
  (0, 530)	1.0
  (0, 615)	1.0
  (0, 645)	1.0
  (0, 735)	1.0
  (0, 816)	1.0
  (0, 868)	1.0
  (0, 882)	1.0
  (0, 960)	1.0
  (0, 1054)	1.0
  (0, 1062)	1.0
  (0, 1112)	1.0
  (0, 1131)	1.0
  (0, 1159)	1.0
  (0, 1171)	1.0
  (0, 1332)	1.0"
796,"  (0, 19)	1.0
  (0, 132)	1.0
  (0, 238)	1.0
  (0, 247)	1.0
  (0, 349)	1.0
  (0, 514)	1.0
  (0, 547)	1.0
  (0, 654)	1.0
  (0, 760)	1.0
  (0, 774)	1.0
  (0, 882)	1.0
  (0, 915)	1.0
  (0, 952)	1.0
  (0, 1027)	1.0
  (0, 1071)	1.0
  (0, 1075)	1.0
  (0, 1097)	1.0
  (0, 1177)	1.0
  (0, 1198)	1.0
  (0, 1204)	1.0
  (0, 1269)	1.0
  (0, 1332)	1.0
  (0, 1348)	1.0"
797,"  (0, 106)	1.0
  (0, 310)	1.0
  (0, 391)	1.0
  (0, 482)	1.0
  (0, 495)	1.0
  (0, 507)	1.0
  (0, 509)	1.0
  (0, 644)	1.0
  (0, 699)	1.0
  (0, 724)	1.0
  (0, 854)	1.0
  (0, 894)	1.0
  (0, 1049)	1.0
  (0, 1122)	1.0
  (0, 1132)	1.0
  (0, 1170)	1.0
  (0, 1198)	1.0
  (0, 1230)	1.0
  (0, 1317)	1.0
  (0, 1332)	1.0
  (0, 1389)	1.0"
798,"  (0, 197)	1.0
  (0, 369)	1.0
  (0, 398)	1.0
  (0, 495)	1.0
  (0, 507)	1.0
  (0, 510)	1.0
  (0, 615)	1.0
  (0, 625)	1.0
  (0, 780)	1.0
  (0, 869)	1.0
  (0, 911)	1.0
  (0, 1075)	1.0
  (0, 1177)	1.0
  (0, 1207)	1.0
  (0, 1263)	1.0
  (0, 1301)	1.0
  (0, 1305)	1.0
  (0, 1314)	1.0
  (0, 1320)	1.0
  (0, 1336)	1.0
  (0, 1353)	1.0"
799,"  (0, 3)	1.0
  (0, 39)	1.0
  (0, 339)	1.0
  (0, 489)	1.0
  (0, 640)	1.0
  (0, 869)	1.0
  (0, 880)	1.0
  (0, 924)	1.0
  (0, 929)	1.0
  (0, 978)	1.0
  (0, 1097)	1.0
  (0, 1177)	1.0
  (0, 1209)	1.0
  (0, 1211)	1.0
  (0, 1235)	1.0
  (0, 1237)	1.0
  (0, 1263)	1.0
  (0, 1286)	1.0
  (0, 1315)	1.0
  (0, 1384)	1.0"
800,"  (0, 58)	1.0
  (0, 82)	1.0
  (0, 84)	1.0
  (0, 87)	1.0
  (0, 379)	1.0
  (0, 402)	1.0
  (0, 448)	1.0
  (0, 457)	1.0
  (0, 466)	1.0
  (0, 644)	1.0
  (0, 664)	1.0
  (0, 828)	1.0
  (0, 973)	1.0
  (0, 1019)	1.0
  (0, 1052)	1.0
  (0, 1120)	1.0
  (0, 1125)	1.0
  (0, 1212)	1.0
  (0, 1236)	1.0
  (0, 1340)	1.0
  (0, 1426)	1.0"
801,"  (0, 99)	1.0
  (0, 242)	1.0
  (0, 250)	1.0
  (0, 299)	1.0
  (0, 495)	1.0
  (0, 507)	1.0
  (0, 518)	1.0
  (0, 625)	1.0
  (0, 701)	1.0
  (0, 763)	1.0
  (0, 925)	1.0
  (0, 1078)	1.0
  (0, 1138)	1.0
  (0, 1149)	1.0
  (0, 1170)	1.0
  (0, 1177)	1.0
  (0, 1207)	1.0
  (0, 1209)	1.0
  (0, 1263)	1.0
  (0, 1331)	1.0
  (0, 1338)	1.0
  (0, 1418)	1.0"
802,"  (0, 99)	1.0
  (0, 168)	1.0
  (0, 203)	1.0
  (0, 242)	1.0
  (0, 250)	1.0
  (0, 299)	1.0
  (0, 495)	1.0
  (0, 507)	1.0
  (0, 518)	1.0
  (0, 625)	1.0
  (0, 701)	1.0
  (0, 763)	1.0
  (0, 925)	1.0
  (0, 1078)	1.0
  (0, 1138)	1.0
  (0, 1149)	1.0
  (0, 1170)	1.0
  (0, 1177)	1.0
  (0, 1207)	1.0
  (0, 1209)	1.0
  (0, 1224)	1.0
  (0, 1263)	1.0
  (0, 1331)	1.0
  (0, 1338)	1.0
  (0, 1418)	1.0"
803,"  (0, 4)	1.0
  (0, 15)	1.0
  (0, 124)	1.0
  (0, 187)	1.0
  (0, 226)	1.0
  (0, 234)	1.0
  (0, 283)	1.0
  (0, 381)	1.0
  (0, 624)	1.0
  (0, 662)	1.0
  (0, 750)	1.0
  (0, 758)	1.0
  (0, 880)	1.0
  (0, 937)	1.0
  (0, 942)	1.0
  (0, 1073)	1.0
  (0, 1075)	1.0
  (0, 1118)	1.0
  (0, 1251)	1.0
  (0, 1281)	1.0
  (0, 1386)	1.0
  (0, 1393)	1.0"
804,"  (0, 19)	1.0
  (0, 157)	1.0
  (0, 166)	1.0
  (0, 238)	1.0
  (0, 361)	1.0
  (0, 365)	1.0
  (0, 456)	1.0
  (0, 480)	1.0
  (0, 507)	1.0
  (0, 558)	1.0
  (0, 568)	1.0
  (0, 969)	1.0
  (0, 1073)	1.0
  (0, 1117)	1.0
  (0, 1138)	1.0
  (0, 1149)	1.0
  (0, 1198)	1.0
  (0, 1305)	1.0
  (0, 1381)	1.0"
805,"  (0, 4)	1.0
  (0, 39)	1.0
  (0, 40)	1.0
  (0, 57)	1.0
  (0, 149)	1.0
  (0, 179)	1.0
  (0, 234)	1.0
  (0, 235)	1.0
  (0, 322)	1.0
  (0, 509)	1.0
  (0, 750)	1.0
  (0, 758)	1.0
  (0, 1002)	1.0
  (0, 1051)	1.0
  (0, 1054)	1.0
  (0, 1075)	1.0
  (0, 1152)	1.0
  (0, 1211)	1.0
  (0, 1262)	1.0
  (0, 1281)	1.0
  (0, 1283)	1.0"
806,"  (0, 98)	1.0
  (0, 367)	1.0
  (0, 507)	1.0
  (0, 530)	1.0
  (0, 702)	1.0
  (0, 708)	1.0
  (0, 726)	1.0
  (0, 754)	1.0
  (0, 827)	1.0
  (0, 858)	1.0
  (0, 936)	1.0
  (0, 1159)	1.0
  (0, 1166)	1.0
  (0, 1169)	1.0
  (0, 1263)	1.0
  (0, 1290)	1.0
  (0, 1292)	1.0
  (0, 1296)	1.0
  (0, 1301)	1.0
  (0, 1314)	1.0
  (0, 1328)	1.0
  (0, 1334)	1.0
  (0, 1381)	1.0"
807,"  (0, 8)	1.0
  (0, 19)	1.0
  (0, 121)	1.0
  (0, 125)	1.0
  (0, 130)	1.0
  (0, 188)	1.0
  (0, 212)	1.0
  (0, 217)	1.0
  (0, 238)	1.0
  (0, 261)	1.0
  (0, 365)	1.0
  (0, 402)	1.0
  (0, 431)	1.0
  (0, 442)	1.0
  (0, 639)	1.0
  (0, 654)	1.0
  (0, 701)	1.0
  (0, 754)	1.0
  (0, 755)	1.0
  (0, 774)	1.0
  (0, 1097)	1.0
  (0, 1177)	1.0
  (0, 1258)	1.0
  (0, 1263)	1.0
  (0, 1291)	1.0
  (0, 1413)	1.0"
808,"  (0, 19)	1.0
  (0, 724)	1.0
  (0, 774)	1.0
  (0, 876)	1.0
  (0, 1052)	1.0
  (0, 1075)	1.0
  (0, 1120)	1.0
  (0, 1149)	1.0
  (0, 1209)	1.0
  (0, 1234)	1.0
  (0, 1249)	1.0
  (0, 1274)	1.0
  (0, 1384)	1.0"
809,"  (0, 89)	1.0
  (0, 132)	1.0
  (0, 324)	1.0
  (0, 398)	1.0
  (0, 419)	1.0
  (0, 468)	1.0
  (0, 479)	1.0
  (0, 508)	1.0
  (0, 675)	1.0
  (0, 701)	1.0
  (0, 729)	1.0
  (0, 814)	1.0
  (0, 921)	1.0
  (0, 1005)	1.0
  (0, 1062)	1.0
  (0, 1075)	1.0
  (0, 1119)	1.0
  (0, 1131)	1.0
  (0, 1136)	1.0
  (0, 1214)	1.0
  (0, 1263)	1.0
  (0, 1272)	1.0"
810,"  (0, 57)	1.0
  (0, 157)	1.0
  (0, 237)	1.0
  (0, 238)	1.0
  (0, 336)	1.0
  (0, 365)	1.0
  (0, 456)	1.0
  (0, 468)	1.0
  (0, 480)	1.0
  (0, 558)	1.0
  (0, 614)	1.0
  (0, 772)	1.0
  (0, 1016)	1.0
  (0, 1120)	1.0
  (0, 1123)	1.0
  (0, 1174)	1.0
  (0, 1177)	1.0
  (0, 1215)	1.0
  (0, 1296)	1.0
  (0, 1320)	1.0
  (0, 1339)	1.0
  (0, 1352)	1.0
  (0, 1355)	1.0
  (0, 1357)	1.0
  (0, 1399)	1.0"
811,"  (0, 26)	1.0
  (0, 351)	1.0
  (0, 463)	1.0
  (0, 505)	1.0
  (0, 510)	1.0
  (0, 810)	1.0
  (0, 858)	1.0
  (0, 925)	1.0
  (0, 1075)	1.0
  (0, 1116)	1.0
  (0, 1118)	1.0
  (0, 1138)	1.0
  (0, 1177)	1.0
  (0, 1213)	1.0
  (0, 1253)	1.0
  (0, 1263)	1.0
  (0, 1330)	1.0
  (0, 1339)	1.0
  (0, 1393)	1.0"
812,"  (0, 19)	1.0
  (0, 176)	1.0
  (0, 422)	1.0
  (0, 565)	1.0
  (0, 615)	1.0
  (0, 698)	1.0
  (0, 742)	1.0
  (0, 754)	1.0
  (0, 774)	1.0
  (0, 1114)	1.0
  (0, 1143)	1.0
  (0, 1177)	1.0
  (0, 1187)	1.0
  (0, 1198)	1.0
  (0, 1249)	1.0
  (0, 1352)	1.0
  (0, 1389)	1.0
  (0, 1401)	1.0
  (0, 1403)	1.0"
813,"  (0, 118)	1.0
  (0, 181)	1.0
  (0, 205)	1.0
  (0, 313)	1.0
  (0, 402)	1.0
  (0, 495)	1.0
  (0, 496)	1.0
  (0, 509)	1.0
  (0, 523)	1.0
  (0, 564)	1.0
  (0, 810)	1.0
  (0, 932)	1.0
  (0, 1001)	1.0
  (0, 1132)	1.0
  (0, 1140)	1.0
  (0, 1143)	1.0
  (0, 1144)	1.0
  (0, 1149)	1.0
  (0, 1262)	1.0
  (0, 1422)	1.0
  (0, 1423)	1.0"
814,"  (0, 54)	1.0
  (0, 234)	1.0
  (0, 750)	1.0
  (0, 911)	1.0
  (0, 1046)	1.0"
815,"  (0, 4)	1.0
  (0, 64)	1.0
  (0, 213)	1.0
  (0, 398)	1.0
  (0, 401)	1.0
  (0, 619)	1.0
  (0, 728)	1.0
  (0, 729)	1.0
  (0, 750)	1.0
  (0, 758)	1.0
  (0, 777)	1.0
  (0, 911)	1.0
  (0, 1076)	1.0
  (0, 1123)	1.0
  (0, 1125)	1.0
  (0, 1209)	1.0
  (0, 1262)	1.0
  (0, 1263)	1.0
  (0, 1303)	1.0
  (0, 1328)	1.0
  (0, 1397)	1.0
  (0, 1425)	1.0"
816,"  (0, 58)	1.0
  (0, 141)	1.0
  (0, 316)	1.0
  (0, 433)	1.0
  (0, 778)	1.0
  (0, 836)	1.0
  (0, 1075)	1.0
  (0, 1097)	1.0
  (0, 1106)	1.0
  (0, 1171)	1.0
  (0, 1177)	1.0
  (0, 1207)	1.0
  (0, 1263)	1.0
  (0, 1292)	1.0
  (0, 1330)	1.0
  (0, 1348)	1.0
  (0, 1352)	1.0
  (0, 1355)	1.0
  (0, 1389)	1.0
  (0, 1395)	1.0"
817,"  (0, 4)	1.0
  (0, 51)	1.0
  (0, 58)	1.0
  (0, 153)	1.0
  (0, 398)	1.0
  (0, 458)	1.0
  (0, 472)	1.0
  (0, 474)	1.0
  (0, 502)	1.0
  (0, 805)	1.0
  (0, 882)	1.0
  (0, 1016)	1.0
  (0, 1075)	1.0
  (0, 1234)	1.0
  (0, 1328)	1.0
  (0, 1348)	1.0
  (0, 1374)	1.0
  (0, 1389)	1.0
  (0, 1393)	1.0"
818,"  (0, 61)	1.0
  (0, 89)	1.0
  (0, 126)	1.0
  (0, 250)	1.0
  (0, 302)	1.0
  (0, 696)	1.0
  (0, 702)	1.0
  (0, 735)	1.0
  (0, 1005)	1.0
  (0, 1071)	1.0
  (0, 1075)	1.0
  (0, 1091)	1.0
  (0, 1201)	1.0
  (0, 1212)	1.0
  (0, 1291)	1.0
  (0, 1352)	1.0
  (0, 1385)	1.0
  (0, 1386)	1.0"
819,"  (0, 26)	1.0
  (0, 40)	1.0
  (0, 98)	1.0
  (0, 99)	1.0
  (0, 237)	1.0
  (0, 330)	1.0
  (0, 336)	1.0
  (0, 474)	1.0
  (0, 521)	1.0
  (0, 523)	1.0
  (0, 647)	1.0
  (0, 675)	1.0
  (0, 776)	1.0
  (0, 777)	1.0
  (0, 816)	1.0
  (0, 1118)	1.0
  (0, 1127)	1.0
  (0, 1192)	1.0
  (0, 1207)	1.0
  (0, 1208)	1.0
  (0, 1211)	1.0
  (0, 1257)	1.0
  (0, 1312)	1.0"
820,"  (0, 3)	1.0
  (0, 4)	1.0
  (0, 65)	1.0
  (0, 177)	1.0
  (0, 250)	1.0
  (0, 788)	1.0
  (0, 803)	1.0
  (0, 810)	1.0
  (0, 814)	1.0
  (0, 945)	1.0
  (0, 1005)	1.0
  (0, 1071)	1.0
  (0, 1074)	1.0
  (0, 1075)	1.0
  (0, 1212)	1.0
  (0, 1234)	1.0
  (0, 1235)	1.0
  (0, 1266)	1.0
  (0, 1285)	1.0
  (0, 1326)	1.0
  (0, 1392)	1.0
  (0, 1423)	1.0
  (0, 1426)	1.0"
821,"  (0, 12)	1.0
  (0, 41)	1.0
  (0, 89)	1.0
  (0, 349)	1.0
  (0, 464)	1.0
  (0, 505)	1.0
  (0, 510)	1.0
  (0, 513)	1.0
  (0, 560)	1.0
  (0, 857)	1.0
  (0, 945)	1.0
  (0, 1026)	1.0
  (0, 1074)	1.0
  (0, 1081)	1.0
  (0, 1099)	1.0
  (0, 1177)	1.0
  (0, 1201)	1.0
  (0, 1253)	1.0
  (0, 1285)	1.0
  (0, 1313)	1.0
  (0, 1328)	1.0
  (0, 1332)	1.0
  (0, 1338)	1.0
  (0, 1389)	1.0
  (0, 1393)	1.0
  (0, 1426)	1.0"
822,"  (0, 15)	1.0
  (0, 208)	1.0
  (0, 426)	1.0
  (0, 774)	1.0
  (0, 950)	1.0
  (0, 1071)	1.0
  (0, 1075)	1.0
  (0, 1174)	1.0
  (0, 1205)	1.0"
823,"  (0, 83)	1.0
  (0, 112)	1.0
  (0, 245)	1.0
  (0, 338)	1.0
  (0, 379)	1.0
  (0, 442)	1.0
  (0, 725)	1.0
  (0, 735)	1.0
  (0, 969)	1.0
  (0, 1035)	1.0
  (0, 1075)	1.0
  (0, 1159)	1.0
  (0, 1261)	1.0
  (0, 1263)	1.0
  (0, 1308)	1.0
  (0, 1333)	1.0
  (0, 1336)	1.0
  (0, 1384)	1.0
  (0, 1386)	1.0"
824,"  (0, 125)	1.0
  (0, 292)	1.0
  (0, 327)	1.0
  (0, 911)	1.0"
825,"  (0, 52)	1.0
  (0, 80)	1.0
  (0, 87)	1.0
  (0, 135)	1.0
  (0, 162)	1.0
  (0, 398)	1.0
  (0, 540)	1.0
  (0, 722)	1.0
  (0, 729)	1.0
  (0, 779)	1.0
  (0, 880)	1.0
  (0, 885)	1.0
  (0, 969)	1.0
  (0, 1011)	1.0
  (0, 1159)	1.0
  (0, 1177)	1.0
  (0, 1230)	1.0
  (0, 1257)	1.0
  (0, 1305)	1.0"
826,"  (0, 99)	1.0
  (0, 299)	1.0
  (0, 310)	1.0
  (0, 754)	1.0
  (0, 823)	1.0
  (0, 1075)	1.0"
827,"  (0, 21)	1.0
  (0, 191)	1.0
  (0, 758)	1.0
  (0, 759)	1.0
  (0, 763)	1.0
  (0, 806)	1.0
  (0, 934)	1.0
  (0, 1075)	1.0
  (0, 1123)	1.0
  (0, 1171)	1.0
  (0, 1177)	1.0
  (0, 1198)	1.0
  (0, 1206)	1.0
  (0, 1249)	1.0
  (0, 1262)	1.0
  (0, 1263)	1.0
  (0, 1295)	1.0
  (0, 1305)	1.0
  (0, 1332)	1.0
  (0, 1352)	1.0
  (0, 1389)	1.0
  (0, 1397)	1.0
  (0, 1426)	1.0"
828,"  (0, 130)	1.0
  (0, 131)	1.0
  (0, 135)	1.0
  (0, 211)	1.0
  (0, 434)	1.0
  (0, 447)	1.0
  (0, 507)	1.0
  (0, 694)	1.0
  (0, 729)	1.0
  (0, 751)	1.0
  (0, 854)	1.0
  (0, 911)	1.0
  (0, 915)	1.0
  (0, 1027)	1.0
  (0, 1177)	1.0
  (0, 1235)	1.0
  (0, 1292)	1.0
  (0, 1296)	1.0
  (0, 1314)	1.0
  (0, 1386)	1.0"
829,"  (0, 194)	1.0
  (0, 270)	1.0
  (0, 495)	1.0
  (0, 507)	1.0
  (0, 521)	1.0
  (0, 639)	1.0
  (0, 675)	1.0
  (0, 702)	1.0
  (0, 763)	1.0
  (0, 922)	1.0
  (0, 1073)	1.0
  (0, 1079)	1.0
  (0, 1155)	1.0
  (0, 1170)	1.0
  (0, 1174)	1.0
  (0, 1177)	1.0
  (0, 1262)	1.0
  (0, 1328)	1.0
  (0, 1339)	1.0"
830,"  (0, 39)	1.0
  (0, 131)	1.0
  (0, 212)	1.0
  (0, 447)	1.0
  (0, 468)	1.0
  (0, 488)	1.0
  (0, 694)	1.0
  (0, 758)	1.0
  (0, 854)	1.0
  (0, 886)	1.0
  (0, 923)	1.0
  (0, 937)	1.0
  (0, 1118)	1.0
  (0, 1138)	1.0
  (0, 1177)	1.0
  (0, 1229)	1.0
  (0, 1267)	1.0
  (0, 1352)	1.0
  (0, 1389)	1.0"
831,"  (0, 51)	1.0
  (0, 93)	1.0
  (0, 124)	1.0
  (0, 126)	1.0
  (0, 211)	1.0
  (0, 312)	1.0
  (0, 468)	1.0
  (0, 474)	1.0
  (0, 697)	1.0
  (0, 725)	1.0
  (0, 758)	1.0
  (0, 893)	1.0
  (0, 937)	1.0
  (0, 1005)	1.0
  (0, 1035)	1.0
  (0, 1081)	1.0
  (0, 1190)	1.0
  (0, 1205)	1.0
  (0, 1348)	1.0
  (0, 1422)	1.0
  (0, 1426)	1.0
  (0, 1431)	1.0"
832,"  (0, 18)	1.0
  (0, 25)	1.0
  (0, 78)	1.0
  (0, 95)	1.0
  (0, 228)	1.0
  (0, 263)	1.0
  (0, 287)	1.0
  (0, 381)	1.0
  (0, 458)	1.0
  (0, 539)	1.0
  (0, 551)	1.0
  (0, 757)	1.0
  (0, 882)	1.0
  (0, 915)	1.0
  (0, 1138)	1.0
  (0, 1177)	1.0
  (0, 1208)	1.0
  (0, 1262)	1.0
  (0, 1348)	1.0
  (0, 1399)	1.0"
833,"  (0, 93)	1.0
  (0, 98)	1.0
  (0, 182)	1.0
  (0, 335)	1.0
  (0, 396)	1.0
  (0, 398)	1.0
  (0, 401)	1.0
  (0, 416)	1.0
  (0, 534)	1.0
  (0, 536)	1.0
  (0, 723)	1.0
  (0, 814)	1.0
  (0, 1071)	1.0
  (0, 1177)	1.0
  (0, 1209)	1.0
  (0, 1263)	1.0
  (0, 1381)	1.0
  (0, 1386)	1.0
  (0, 1387)	1.0
  (0, 1397)	1.0"
834,"  (0, 19)	1.0
  (0, 54)	1.0
  (0, 86)	1.0
  (0, 117)	1.0
  (0, 703)	1.0
  (0, 718)	1.0
  (0, 774)	1.0
